,time,status1,status2,status3,status4,status5,status6,status7,status8,status9,status10,status11,status12,status13,status14,status15,status16,status17,status18,status19,unsure,green,red,all,unsure percent,green percent,red percent
30,1.5,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,green,unsure,unsure,unsure,unsure,unsure,unsure,18,1,0,19,0.9474,0.0526,0.0
31,1.55,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,green,unsure,unsure,unsure,unsure,unsure,unsure,18,1,0,19,0.9474,0.0526,0.0
32,1.6,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,green,unsure,unsure,unsure,unsure,unsure,unsure,18,1,0,19,0.9474,0.0526,0.0
33,1.65,unsure,unsure,unsure,unsure,red,unsure,red,unsure,unsure,unsure,unsure,unsure,green,unsure,unsure,unsure,unsure,unsure,unsure,16,1,2,19,0.8421,0.0526,0.1053
34,1.7,unsure,unsure,unsure,unsure,red,unsure,red,green,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,16,1,2,19,0.8421,0.0526,0.1053
35,1.75,unsure,unsure,unsure,unsure,red,unsure,red,green,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,16,1,2,19,0.8421,0.0526,0.1053
36,1.8,unsure,unsure,unsure,unsure,red,unsure,red,green,unsure,red,unsure,unsure,unsure,unsure,unsure,unsure,red,unsure,unsure,14,1,4,19,0.7368,0.0526,0.2105
37,1.85,unsure,unsure,unsure,unsure,red,unsure,red,green,unsure,red,unsure,unsure,unsure,unsure,unsure,red,red,unsure,red,12,1,6,19,0.6316,0.0526,0.3158
38,1.9,unsure,unsure,unsure,unsure,red,unsure,red,unsure,unsure,red,unsure,unsure,unsure,unsure,unsure,red,red,unsure,red,13,0,6,19,0.6842,0.0,0.3158
39,1.95,unsure,unsure,unsure,unsure,red,unsure,red,unsure,unsure,red,unsure,unsure,unsure,unsure,unsure,red,red,unsure,red,13,0,6,19,0.6842,0.0,0.3158
40,2.0,unsure,unsure,unsure,unsure,red,unsure,red,unsure,unsure,red,unsure,unsure,unsure,unsure,unsure,red,red,unsure,red,13,0,6,19,0.6842,0.0,0.3158
41,2.05,unsure,unsure,red,unsure,red,unsure,red,unsure,unsure,red,unsure,unsure,red,unsure,unsure,red,red,unsure,red,11,0,8,19,0.5789,0.0,0.4211
42,2.1,unsure,unsure,red,unsure,red,unsure,red,unsure,unsure,red,unsure,unsure,red,unsure,unsure,red,red,unsure,red,11,0,8,19,0.5789,0.0,0.4211
43,2.15,unsure,unsure,red,unsure,red,unsure,red,unsure,unsure,red,unsure,unsure,red,unsure,unsure,red,red,unsure,red,11,0,8,19,0.5789,0.0,0.4211
44,2.2,unsure,unsure,red,unsure,red,unsure,red,unsure,unsure,red,unsure,unsure,red,unsure,unsure,red,red,unsure,red,11,0,8,19,0.5789,0.0,0.4211
45,2.25,unsure,unsure,red,unsure,red,unsure,red,unsure,unsure,red,unsure,unsure,red,unsure,unsure,red,red,unsure,red,11,0,8,19,0.5789,0.0,0.4211
46,2.3,unsure,unsure,red,unsure,red,unsure,red,unsure,unsure,red,unsure,unsure,red,unsure,unsure,red,red,unsure,red,11,0,8,19,0.5789,0.0,0.4211
47,2.35,unsure,unsure,red,unsure,red,unsure,red,unsure,unsure,red,unsure,unsure,red,unsure,unsure,red,red,unsure,red,11,0,8,19,0.5789,0.0,0.4211
48,2.4,unsure,unsure,red,unsure,red,unsure,red,unsure,unsure,red,unsure,unsure,red,unsure,unsure,red,red,unsure,red,11,0,8,19,0.5789,0.0,0.4211
